250,5.521460917862246,$\log(n)$
500,6.214608098422191,$\log(n)$
1000,6.907755278982137,$\log(n)$
2000,7.600902459542082,$\log(n)$
4000,8.294049640102028,$\log(n)$
8000,8.987196820661973,$\log(n)$
16000,9.680344001221918,$\log(n)$
250,6.299605249474365,$n^{1/3}$
500,7.937005259840997,$n^{1/3}$
1000,9.999999999999998,$n^{1/3}$
2000,12.59921049894873,$n^{1/3}$
4000,15.874010519681992,$n^{1/3}$
8000,19.999999999999996,$n^{1/3}$
16000,25.198420997897458,$n^{1/3}$
250,15.811388300841896,$n^{1/2}$
500,22.360679774997898,$n^{1/2}$
1000,31.622776601683793,$n^{1/2}$
2000,44.721359549995796,$n^{1/2}$
4000,63.245553203367585,$n^{1/2}$
8000,89.44271909999159,$n^{1/2}$
16000,126.49110640673517,$n^{1/2}$
